ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
stan1295-genre-57,stan1295,genre,both,genre-both,,
stan1295-ncases-58,stan1295,ncases,0,ncases-0,,
stan1295-nclass-58,stan1295,nclass,0,nclass-0,,
stan1295-nnumber-58,stan1295,nnumber,0,nnumber-0,,
stan1295-int-58,stan1295,int,no,int-no,,
stan1295-origin-58,stan1295,origin,KW,origin-kw,,
stan1295-comp-58,stan1295,comp,no,comp-no,,
stan1295-genre-58,stan1295,genre,both,genre-both,,
oldh1241-ncases-59,oldh1241,ncases,4,ncases-4,,
oldh1241-nclass-59,oldh1241,nclass,3,nclass-3,,
oldh1241-nnumber-59,oldh1241,nnumber,2,nnumber-2,,
oldh1241-int-59,oldh1241,int,no,int-no,,
oldh1241-origin-59,oldh1241,origin,TO,origin-to,,
oldh1241-comp-59,oldh1241,comp,yes,comp-yes,,
oldh1241-genre-59,oldh1241,genre,written,genre-written,,
midd1343-ncases-60,midd1343,ncases,4,ncases-4,,
midd1343-nclass-60,midd1343,nclass,3,nclass-3,,
midd1343-nnumber-60,midd1343,nnumber,2,nnumber-2,,
midd1343-int-60,midd1343,int,no,int-no,,
midd1343-origin-60,midd1343,origin,TO,origin-to,,
midd1343-comp-60,midd1343,comp,yes,comp-yes,,
midd1343-genre-60,midd1343,genre,written,genre-written,,
midd1343-ncases-61,midd1343,ncases,0,ncases-0,,
midd1343-nclass-61,midd1343,nclass,0,nclass-0,,
midd1343-nnumber-61,midd1343,nnumber,0,nnumber-0,,
midd1343-int-61,midd1343,int,no,int-no,,
midd1343-origin-61,midd1343,origin,NA,origin-na,,
midd1343-comp-61,midd1343,comp,no,comp-no,,
midd1343-genre-61,midd1343,genre,written,genre-written,,
midd1343-ncases-62,midd1343,ncases,0,ncases-0,,
midd1343-nclass-62,midd1343,nclass,0,nclass-0,,
midd1343-nnumber-62,midd1343,nnumber,0,nnumber-0,,
midd1343-int-62,midd1343,int,no,int-no,,
midd1343-origin-62,midd1343,origin,NA,origin-na,,
midd1343-comp-62,midd1343,comp,no,comp-no,,
midd1343-genre-62,midd1343,genre,written,genre-written,,
swis1247-ncases-63,swis1247,ncases,0,ncases-0,,
swis1247-nclass-63,swis1247,nclass,0,nclass-0,,
swis1247-nnumber-63,swis1247,nnumber,0,nnumber-0,,
swis1247-int-63,swis1247,int,yes,int-yes,,
swis1247-origin-63,swis1247,origin,KW,origin-kw,,
swis1247-comp-63,swis1247,comp,no,comp-no,,
swis1247-genre-63,swis1247,genre,spoken,genre-spoken,,
west2361-ncases-64,west2361,ncases,0,ncases-0,,
west2361-nclass-64,west2361,nclass,0,nclass-0,,
west2361-nnumber-64,west2361,nnumber,0,nnumber-0,,
west2361-int-64,west2361,int,yes,int-yes,,
west2361-origin-64,west2361,origin,KW,origin-kw,,
west2361-comp-64,west2361,comp,no,comp-no,,
west2361-genre-64,west2361,genre,spoken,genre-spoken,,
west2361-ncases-65,west2361,ncases,3,ncases-3,,
west2361-nclass-65,west2361,nclass,3,nclass-3,,
west2361-nnumber-65,west2361,nnumber,2,nnumber-2,,
west2361-int-65,west2361,int,yes,int-yes,,
west2361-origin-65,west2361,origin,KW,origin-kw,,
west2361-comp-65,west2361,comp,no,comp-no,,
west2361-genre-65,west2361,genre,written,genre-written,,
olds1250-ncases-66,olds1250,ncases,5,ncases-5,,
olds1250-nclass-66,olds1250,nclass,3,nclass-3,,
olds1250-nnumber-66,olds1250,nnumber,2,nnumber-2,,
olds1250-int-66,olds1250,int,no,int-no,,
olds1250-origin-66,olds1250,origin,TO,origin-to,,
olds1250-comp-66,olds1250,comp,yes,comp-yes,,
olds1250-genre-66,olds1250,genre,written,genre-written,,
olde1238-ncases-67,olde1238,ncases,4,ncases-4,,
olde1238-nclass-67,olde1238,nclass,3,nclass-3,,
olde1238-nnumber-67,olde1238,nnumber,2,nnumber-2,,
olde1238-int-67,olde1238,int,no,int-no,,
olde1238-origin-67,olde1238,origin,TO,origin-to,,
